"concept","frequency","relative_frequency-across_texts","relative_percentage-across_texts","tf-idf","Action","Evaluation","Node Type","Potency","gram_type","meta","number_of_texts"
"civil_defense_calabarzon","14","0.027184466019417475","0.0010095911155981827","0.0017512378146270634"," "," ",""," ","ngram","agent","9"
"magbubukas","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"suit","6","0.011650485436893204","4.3268190668493544E-4","0.001004855146876855"," "," ",""," ","single","unknown","5"
"siguro","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","unknown","3"
"visits","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"nangyari","3","0.005825242718446602","2.1634095334246772E-4","7.006587839109498E-4"," "," ",""," ","single","unknown","2"
"limays","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"disrupts","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"tanker","117","0.22718446601941747","0.008437297180356242","0.002938767089448421"," "," ",""," ","single","UNKNOWN","36"
"yield","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","task","1"
"stations","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"concern","16","0.031067961165048542","0.0011538184178264946","0.001491619878109546"," "," ",""," ","single","unknown","14"
"bangus","5","0.009708737864077669","3.6056825557077957E-4","0.0011677646398515831"," "," ",""," ","single","unknown","2"
"curb","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"court","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"impose","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"kasama","5","0.009708737864077669","3.6056825557077957E-4","0.0011677646398515831"," "," ",""," ","single","unknown","2"
"birds","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4","0.84","1.15","","0.74","single","unknown","1"
"cure","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"operation","17","0.03300970873786408","0.0012259320689406504","0.0018804944197549028"," "," ",""," ","single","UNKNOWN","11"
